consumtion_mw,thermal_mw,nuclear_mw,wind_mw,solar_mw,hydraulic_mw,pumping_mw,biological_mw,energy_exchange_mw,battery_storage,battery_clearance,onshore_wind,offshore_wind,thermal_coverage,thermal_utilization,nuclear_coverage,nuclear_utilization,wind_coverage,wind_utilization,solar_coverage,solar_utilization,hydraulic_coverage,hydraulic_utilization,biological_coverage,biological_utilization,column_30,total_production,green_production,Year,Month,Day
0.8956031716127206,-0.7303383614839664,-0.9007581797664679,-0.6490856402101741,-0.7098541730620082,-0.6000321690264745,0.40932073024378424,1.4491206041822948,-0.032471569012103664,1.6582574914693695,-0.9343599954425974,-1.3162555166964731,9.761365578191497e-17,-0.811969301953926,-1.093248840872568,-0.42062044403582044,-0.11278584589703486,-0.7422467629512849,0.6983826473504382,-0.16835905194125966,0.21717219054725614,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1178571095220902,-0.8261847465472367,-0.9057764414967368,0.09577671900350396,-1.4151227558960875
0.8910902008874237,-0.7487936840435272,-0.9007581797664679,-0.6479108818185898,-0.6970821311594426,-0.6001787779793636,0.40932073024378424,1.2411735822859673,-0.032471569012103664,1.6600222368659519,-0.950077431622186,-1.3409849646130976,9.761365578191497e-17,-0.8113544410250789,-1.0624961709634777,-0.4201539988668153,-0.025072592057119945,-0.7423518427474753,0.6569468433907398,-0.20700965675086982,0.07783548013444139,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1218458010951544,-0.8365489516895575,-0.9057764414967368,0.11896804597580164,-1.5873782005659047
0.59554541162328,-0.7661409230539634,-0.9007581797664679,-0.6407840142429784,-0.7367362803045511,-0.6003986914086971,0.40932073024378424,1.5373256205790782,-0.032471569012103664,1.5001643671651386,-0.9656037743527827,-1.3642149696610983,9.761365578191497e-17,-0.8049176156762107,-0.8759589512958285,-0.42099506928966696,-0.29740074049471593,-0.7416513107728725,0.5947931374511924,-0.058288851287804706,0.27621943573015634,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1218766414939152,-0.8366290872963279,-0.9057764414967368,0.11896804597580164,-1.4725412374526932
0.4885591144511758,-0.7661409230539634,-0.9007581797664679,-0.6056587383346077,-0.7267619237711188,-0.600056603851956,0.40932073024378424,1.4412363569066047,-0.032471569012103664,1.4382255814875375,-0.9656037743527827,-1.3642149696610983,9.761365578191497e-17,-0.7744819996982786,0.043654545664099785,-0.42026785556161184,-0.22891141673115678,-0.7408106724033489,0.6914766800238219,-0.04085406759651312,0.2118378687552413,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.117774868458728,-0.8259710515958486,-0.9057764414967368,0.11896804597580164,-1.3577042743394816
0.8644806097014018,-0.7661409230539634,-0.9007581797664679,-0.6098095513182056,-0.7492650452184964,-0.6004719958851416,0.40932073024378424,1.28207311502861,-0.032471569012103664,1.6448626961350654,-0.9656037743527827,-1.3642149696610983,9.761365578191497e-17,-0.7826865502175823,-0.06500126579208233,-0.4223797136102568,-0.3834978808909235,-0.7425269757411261,0.5740752354713433,-0.18817448882734608,0.10523593702253498,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1210182503950727,-0.8343986462412151,-0.9057764414967368,0.11896804597580164,-1.24286731122627
0.7923428149511266,-0.7661409230539634,-0.9007581797664679,-0.5465292326248644,-0.7082728726359763,-0.6002765172812896,0.40932073024378424,1.2377242241028528,-0.032471569012103664,1.5956333153778048,-0.9656037743527827,-1.3642149696610983,9.761365578191497e-17,-0.7262346311878068,1.5916765755472755,-0.42046618657835416,-0.1019292128437437,-0.7420891432569993,0.6293229740842743,-0.1782317607784971,0.07551161717554389,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1114011860481616,-0.8094096928632744,-0.9057764414967368,0.11896804597580164,-1.1280303481130585
0.8395546654305568,-0.7661409230539634,-0.9007581797664679,-0.6205781699077283,-0.6984201545968542,-0.5990303411817329,0.40932073024378424,1.327407536863828,-0.032471569012103664,1.6296869650794399,-0.9656037743527827,-1.3642149696610983,9.761365578191497e-17,-0.785280494761156,-0.346904362181349,-0.42011727090075196,-0.03419581311030574,-0.7409858053969997,0.9815273077417102,-0.17129985882894738,0.13560460068994784,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1195070708557933,-0.8304720015094595,-0.9057764414967368,0.11896804597580164,-1.0131933849998473
0.8413977108702476,-0.7661409230539634,-0.9007581797664679,-0.6339312569587365,-0.6890539905349727,-0.5977841650821762,0.40932073024378424,1.4816431241945167,-0.032471569012103664,1.6300809296480958,-0.9656037743527827,-1.3642149696610983,9.761365578191497e-17,-0.799845013013222,-0.6965176657096765,-0.41961409776568354,0.03010986214172102,-0.7394621483522382,1.3337316413991462,-0.1446225392049231,0.23893199825329842,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1189930642097798,-0.8291364080632843,-0.9057764414967368,0.11896804597580164,-0.8983564218866356
0.8081232688779925,-0.7659116643886272,-0.9007581797664679,-0.6506519847322865,-0.7388041347078236,-0.5981262526389173,0.40932073024378424,1.234767631374469,-0.032471569012103664,1.6194384895194707,-0.9653887942226668,-1.3639082654379706,9.761365578191497e-17,-0.8129108077512232,-1.1342379118609387,-0.4217516653905728,-0.31163296533768575,-0.7396723079446191,1.237048098826517,-0.18355322086097958,0.07353633366048051,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1259064535986605,-0.8471001399143426,-0.9057764414967368,0.11896804597580164,-0.7835194587734242
0.5477955911236158,-0.7657206155008471,-0.9007581797664679,-0.6440341791263616,-0.7604557866950301,-0.5979796436860283,0.40932073024378424,1.3471181550530535,-0.032471569012103664,1.4774709286555707,-0.9651260407303028,-1.3636469988775286,9.761365578191497e-17,-0.8075884178358903,-0.9610123602634789,-0.42206018030550524,-0.46032843533168105,-0.7383763237916036,1.278483902786215,-0.08643657435567302,0.14877667846151765,-5.907861863082941e-17,2.77581760480154e-16,-2.392299885616119e-16,8.484092367284777e-17,,-1.1247242383128295,-0.8440282749881394,-0.9057764414967368,0.11896804597580164,-0.6686824956602127
